what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1288187795995
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1288187795996
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1288187796000
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1288187796001
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1288187796001
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1288187796002
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1288187796003
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1288187796003
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1288187796004
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1288187796004
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1288187796005
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1288187796006
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1288187796006
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1288187796011
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1288187796012
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1288187796013
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1288187796014
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1288187796014
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1288187796015
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1288187796015
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1288187796017
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1288187796017
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1288187796030
os,sysinfo,,,"linux",1288187796041
arch,sysinfo,,,"x86",1288187796041
ws,sysinfo,,,"gtk",1288187796041
locale,sysinfo,,,"en_US",1288187796042
processors,sysinfo,,,"4",1288187796042
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1288187796042
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1288187796042
java.specification.name,sysinfo,,,"Java Platform API Specification",1288187796042
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288187796042
java.specification.version,sysinfo,,,"1.6",1288187796042
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1288187796042
java.version,sysinfo,,,"1.6.0_18",1288187796042
java.vm.info,sysinfo,,,"mixed mode",1288187796042
java.vm.name,sysinfo,,,"OpenJDK Client VM",1288187796042
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1288187796042
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288187796042
java.vm.specification.version,sysinfo,,,"1.0",1288187796042
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1288187796042
java.vm.version,sysinfo,,,"14.0-b16",1288187796042
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1288187798554
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1288187798600
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288187815678
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288187948506
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288187950581
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288187952168
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1288187954563
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1288187960349
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1288187960495
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288187960660
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288187960830
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288187960923
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1288187961141
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1288187961324
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288187973434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288188099240
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288188103456
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1288188103637
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1288188103665
